disease,symptoms
Pneumonia,"['chill', 'fatigue', 'cough', 'highfever', 'breathlessness', 'malaise', 'phlegm', 'chestpain', 'fastheartrate', 'rustysputum']"
Pneumonia,"['chill', 'fatigue', 'cough', 'highfever', 'breathlessness', 'sweating', 'phlegm', 'chestpain', 'fastheartrate', 'rustysputum']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Dimorphic hemmorhoids(piles),"['painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Dimorphic hemmorhoids(piles),"['constipation', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'bloodystool', 'irritationinanus']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'irritationinanus']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Heart attack,"['vomiting', 'breathlessness', 'sweating', 'chestpain']"
Heart attack,"['vomiting', 'breathlessness', 'sweating', 'chestpain']"
Heart attack,"['breathlessness', 'sweating', 'chestpain']"
Heart attack,"['vomiting', 'sweating', 'chestpain']"
Heart attack,"['vomiting', 'breathlessness', 'chestpain']"
Heart attack,"['vomiting', 'breathlessness', 'sweating']"
Heart attack,"['vomiting', 'breathlessness', 'sweating', 'chestpain']"
Heart attack,"['breathlessness', 'sweating', 'chestpain']"
Heart attack,"['vomiting', 'sweating', 'chestpain']"
Heart attack,"['vomiting', 'breathlessness', 'chestpain']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Varicose veins,"['cramp', 'bruising', 'obesity', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Varicose veins,"['fatigue', 'bruising', 'obesity', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Varicose veins,"['fatigue', 'cramp', 'obesity', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenbloodvessels', 'prominentveinsoncalf']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenlegs', 'prominentveinsoncalf']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenlegs', 'swollenbloodvessels']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenlegs', 'prominentveinsoncalf']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hypothyroidism,"['weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hypothyroidism,"['weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hypothyroidism,"['fatigue', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hypothyroidism,"['fatigue', 'weightgain', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'moodswings', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['moodswings', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'sweating', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'slurredspeech', 'irritability', 'palpitation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Hypoglycemia,"['fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Hypoglycemia,"['vomiting', 'anxiety', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Hypoglycemia,"['vomiting', 'fatigue', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Osteoarthristis,"['neckpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Osteoarthristis,"['jointpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Osteoarthristis,"['jointpain', 'neckpain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'swellingjoints', 'painfulwalking']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'painfulwalking']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'swellingjoints']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
Arthritis,"['stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
Arthritis,"['muscleweakness', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'movementstiffness', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
(vertigo) Paroymsal  Positional Vertigo,"['headache', 'nausea', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'nausea', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'lossofbalance', 'unsteadiness']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'spinningmovements', 'unsteadiness']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'spinningmovements', 'lossofbalance']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'lossofbalance', 'unsteadiness']"
Acne,"['skinrash', 'pusfilledpimples', 'blackhead', 'scurring']"
Acne,"['skinrash', 'pusfilledpimples', 'blackhead', 'scurring']"
Acne,"['pusfilledpimples', 'blackhead', 'scurring']"
Acne,"['skinrash', 'blackhead', 'scurring']"
Acne,"['skinrash', 'pusfilledpimples', 'scurring']"
Acne,"['skinrash', 'pusfilledpimples', 'blackhead']"
Acne,"['skinrash', 'pusfilledpimples', 'blackhead', 'scurring']"
Acne,"['skinrash', 'pusfilledpimples', 'blackhead']"
Acne,"['skinrash', 'pusfilledpimples', 'scurring']"
Acne,"['skinrash', 'blackhead', 'scurring']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'foulsmellof urine', 'continuousfeelofurine']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'foulsmellof urine', 'continuousfeelofurine']"
Urinary tract infection,"['bladderdiscomfort', 'foulsmellof urine', 'continuousfeelofurine']"
Urinary tract infection,"['burningmicturition', 'foulsmellof urine', 'continuousfeelofurine']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'continuousfeelofurine']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'foulsmellof urine']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'foulsmellof urine', 'continuousfeelofurine']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'continuousfeelofurine']"
Urinary tract infection,"['bladderdiscomfort', 'foulsmellof urine', 'continuousfeelofurine']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'continuousfeelofurine']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Psoriasis,"['jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Psoriasis,"['skinrash', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Psoriasis,"['skinrash', 'jointpain', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'smalldentsinnails', 'inflammatorynails']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'inflammatorynails']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Impetigo,"['skinrash', 'highfever', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Impetigo,"['skinrash', 'highfever', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Impetigo,"['highfever', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Impetigo,"['skinrash', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Impetigo,"['skinrash', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Impetigo,"['skinrash', 'highfever', 'redsorearoundnose', 'yellowcrustooze']"
Impetigo,"['skinrash', 'highfever', 'blister', 'yellowcrustooze']"
Impetigo,"['skinrash', 'highfever', 'blister', 'redsorearoundnose']"
Impetigo,"['skinrash', 'highfever', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Impetigo,"['skinrash', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions', 'dischromic patch']"
Fungal infection,"['skinrash', 'nodalskineruptions', 'dischromic patch']"
Fungal infection,"['itching', 'nodalskineruptions', 'dischromic patch']"
Fungal infection,"['itching', 'skinrash', 'dischromic patch']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions']"
Fungal infection,"['skinrash', 'nodalskineruptions', 'dischromic patch']"
Fungal infection,"['itching', 'nodalskineruptions', 'dischromic patch']"
Fungal infection,"['itching', 'skinrash', 'dischromic patch']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions', 'dischromic patch']"
Allergy,"['continuoussneezing', 'shivering', 'chill', 'wateringfromeyes']"
Allergy,"['shivering', 'chill', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'chill', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'shivering', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'shivering', 'chill']"
Allergy,"['shivering', 'chill', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'chill', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'shivering', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'shivering', 'chill']"
Allergy,"['continuoussneezing', 'shivering', 'chill', 'wateringfromeyes']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'cough', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'cough']"
GERD,"['acidity', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'cough', 'chestpain']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'stomachpain', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition']"
Drug Reaction,"['skinrash', 'stomachpain', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'stomachpain', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition']"
Peptic ulcer diseae,"['vomiting', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
AIDS,"['patchesinthroat', 'highfever', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'highfever', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'patchesinthroat', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
AIDS,"['patchesinthroat', 'highfever', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'highfever', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'increasedappetite', 'polyuria']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['sunkeneyes', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['sunkeneyes', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'diarrhoea']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'cough', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['headache', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['headache', 'chestpain', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lackofconcentration']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['headache', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['headache', 'chestpain', 'lossofbalance', 'lackofconcentration']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'headache', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'irritability', 'visualdisturbances']"
